1000 square meter	mål(et)
24 hours	døgn(et)
a	"en, ei, et (masculine, feminine, neutral)"
abandon[s]	forlate[r]
abandoned	forlatt
abdicate[s]	abdisere[r]
ability	evne(n)
about	"om, omkring"
about	omtrent
above	"over, ovenfor, oppe"
abroad	utenlands
abroad	utland(et)
abscess	byll(en)
absent	fraværende
absent-minded	åndsfraværende
absolutely	absolutt
abstinence	avhold(et)
abstract	utdrag(et)
abundance	vell(et)
access	"tilgang(en), høve(t)"
accept[s]	akseptere[r]
accident	ulykke(n)
accidentally	uforvarende
accountant	regnskapsfører(en)
accounts	regnskap(et)
according to	ifølge
according to hear say	angiverlig
accordion	trekkspill(et)
account	konto(en)
accuse[s|d]	anklage[r|t]
accusation	anklage(n)
accuse[s]	beskylde[r]
accused	beskyldte
achievement	"bragd(en), bedrift(en)"
acknowledge[s]	erkjenne[r]
acknowledgement	"anerkjennnelse(n), påskjønnelse(n)"
acquire[s|d]	erverve[r|t]
across	på tvers
act[s|ed]	handle[r|t]
activity	"aktivitet(en), virksomhet(en)"
actual	"egentlig, faktisk"
actor	skuespiller(en)
actress	skuespillerinne(n)
adamant	beinhard
add[s]	tilsette[r]
add[s]	påføre[r]
add[s|ed]	spe[r|dde]
added	påført
addition	tillegg(et)
additional	mer
additional ..	tilleggs..
additionally	dessuten
address	adresse(n)
administrate[s]	administrere[r]
administrated	administrerte
administration	administrasjon(en)
administrative district	fylke(t)
adopt[s]	adoptere[r]
adopted	adoptert
adult	voksen
adultery	hor
adults	voksne
advance[s|d]	rykke[r|t]
advanced	videregående
advertisement	annonse(n)
advice	råd(et)
aeromechanic	flymekaniker(en)
aeroplane	fly(et)
affect[s|ed]	påvirke[r|t]
afraid	redd
after	etter
afternoon	ettermiddag(en)
again	igjen
against	mot
age	alder(en)
age group	årgang(en)
agent	agent(en)
agent	fullmektig(en)
agile	spenstig
agility	spenst(en)
agree (with another)	enig
agreement	"avtale(n), samtykke(t)"
agricultural ..	landbruks..
agricultural college graduate	agronom(en)
agricultural equipment	jordbruksredskap(et)
agricultural machine	landbruksmaskin(en)
agricultural region	jordbruksområde(t)
agricultural school	jordbruksskole(n)
agriculture	landbruk(et)
ailment	plage(n)
aim	målsetting(en)
aim[s|ed]	sikte[r|t]
air	luft(en)
air conditioner	klimaanlegg(et)
airport	flyplass(en)
alarm	alarm(en)
alcohol	"alkohol(en), sprit(en)"
alert	våken
alert	åndsfrisk
alga	alge(n)
alibi	alibi(et)
alike	like
all	"alle, alt, samtlige, hele"
allergy	allergi(en)
allergic person	allergiker(en)
allodial law	odelsrett(en)
allodial ownership	odel(en)
allodial right	odelsrett(en)
allow[s]	"tillate[r], la[r]"
almost	nesten
alone	"ene, alene"
also	også
altar	alter(et)
alteration	forandring(en)
alternate[s|d]	veksle[r|t]
alternative	alternativ(et)
although	"selv om, enda"
always	alltid
am	er
amateur	amatør(en)
ambission	ambisjon(en)
ambulance	ambulanse(n)
ameba	amøbe(n)
American Indian	indiansk
American	amerikaner(en)
American	amerikansk
American Indian	indianer(en)
among	"blant, imellom"
among others	blant annet
amount of money	beløp(et)
amputate[s]	amputere[r]
amputated	amputert
amputation	amputasjon(en)
analysis	analyse(n)
analyses[s]	analysere[r]
ancestor	"ane(n), stamfar(en)"
ancestors	forfedre(ne)
ancestry	herkomst(en)
ancestry	ætt(en)
anchorage	feste(t)
anchovy	ansjos(en)
and	og
angel	engel(en)
anger	"sinne(t), harme(n)"
angry	"sint, arg"
angry	hissig
animal	dyr(et)
animal husbandry	kreaturhold(et)
annexe	"anneks(et), sidehus(et)"
anniversary	jubileum(et)
